Country,Gender,Age,Time,Start Time
NOR,M,50,162.75,0.2
GBR,M,50,162.76666666666668,0.5166666666666667
GBR,M,30,162.76666666666668,0.2
IRL,M,50,162.78333333333333,0.2
GER,M,35,162.83333333333334,0.16666666666666666
GBR,M,35,162.85,0.3333333333333333
DEN,M,30,162.9,0.3333333333333333
TPE,M,40,162.91666666666666,0.3333333333333333
ECU,M,40,162.91666666666666,0.23333333333333334
FRA,M,35,163.03333333333333,0.43333333333333335
BEL,M,35,163.13333333333333,0.23333333333333334
SUI,M,35,163.18333333333334,0.16666666666666666
SUI,M,35,163.21666666666667,1.25
NOR,M,50,163.23333333333332,0.35
MEX,M,35,163.25,0.1
ESP,M,40,163.26666666666668,0.3333333333333333
DEN,M,45,163.28333333333333,0.31666666666666665
SWE,M,30,163.28333333333333,0.6666666666666666
LAT,M,30,163.31666666666666,0.3333333333333333
GER,M,35,163.31666666666666,0.11666666666666667
GER,M,35,163.35,0.35
AUS,M,45,163.38333333333333,0.21666666666666667
AUS,M,45,163.43333333333334,0.55
NOR,M,40,163.45,0.21666666666666667
DEN,M,45,163.6,0.31666666666666665
TPE,M,35,163.63333333333333,0.9166666666666666
FIN,M,40,163.65,0.4166666666666667
NOR,M,30,163.65,0.31666666666666665
GUA,M,35,163.68333333333334,0.4
CAN,M,40,163.76666666666668,0.11666666666666667
DEN,M,35,163.81666666666666,0.7333333333333333
FRA,M,35,163.81666666666666,0.25
GER,M,45,163.83333333333334,0.2
GER,M,45,163.85,0.4166666666666667
AUS,M,30,163.86666666666667,0.1
BEL,M,35,163.9,0.16666666666666666
GER,M,35,163.9,0.8
POR,M,35,163.91666666666666,0.4166666666666667
NED,M,35,163.91666666666666,0.4
ITA,M,45,163.93333333333334,0.08333333333333333
AUS,M,35,164.05,0.35
GER,M,40,164.06666666666666,0.2833333333333333
DEN,M,30,164.1,0.26666666666666666
JPN,M,35,164.11666666666667,0.08333333333333333
USA,M,35,164.13333333333333,0.48333333333333334
GER,M,35,164.15,1.2
DEN,M,40,164.18333333333334,0.21666666666666667
ESP,M,45,164.18333333333334,0.31666666666666665
GBR,M,45,164.2,0.35
GBR,M,30,164.25,0.7
GER,M,35,164.26666666666668,0.25
ARG,M,35,164.26666666666668,0.25
HKG,M,30,164.31666666666666,0.23333333333333334
SUI,M,40,164.31666666666666,0.21666666666666667
FRA,M,40,164.31666666666666,0.4
NOR,M,40,164.33333333333334,0.11666666666666667
GER,M,30,164.35,0.08333333333333333
POL,M,30,164.36666666666667,0.2833333333333333
CHN,M,35,164.36666666666667,0.18333333333333332
POR,M,45,164.41666666666666,0.31666666666666665
GER,M,40,164.41666666666666,0.23333333333333334
CHI,M,40,164.43333333333334,0.3
GBR,M,30,164.45,0.08333333333333333
GER,M,30,164.51666666666668,0.5666666666666667
ESP,M,35,164.55,0.21666666666666667
GER,M,35,164.61666666666667,0.6
GBR,M,35,164.65,0.36666666666666664
NOR,M,30,164.65,0.6166666666666667
UKR,M,40,164.68333333333334,0.45
FIN,M,45,164.78333333333333,0.25
IRL,M,40,164.81666666666666,0.13333333333333333
NOR,M,35,164.86666666666667,0.11666666666666667
FRA,M,30,164.86666666666667,0.3
GER,M,30,164.86666666666667,0.23333333333333334
FRA,M,40,164.88333333333333,0.1
UKR,M,35,164.88333333333333,0.45
GER,M,30,164.88333333333333,1.15
SUD,M,35,164.91666666666666,0.21666666666666667
USA,M,30,164.96666666666667,0.35
NED,M,45,165.0,0.15
LTU,M,40,165.01666666666668,0.2833333333333333
GBR,M,35,165.01666666666668,0.31666666666666665
NOR,M,40,165.01666666666668,0.95
HKG,M,35,165.05,0.06666666666666667
USA,M,45,165.05,0.23333333333333334
USA,M,30,165.06666666666666,0.13333333333333333
GBR,M,45,165.11666666666667,0.6
MEX,M,35,165.13333333333333,0.08333333333333333
GBR,M,40,165.13333333333333,0.18333333333333332
CHN,M,40,165.13333333333333,0.16666666666666666
ITA,M,35,165.15,0.11666666666666667
IRL,M,40,165.2,0.2
ESP,M,45,165.31666666666666,0.13333333333333333
POL,M,35,165.33333333333334,0.26666666666666666
CYP,M,50,165.36666666666667,1.0166666666666666
GBR,M,35,165.45,0.65
IRL,M,35,165.45,0.4666666666666667
AUS,M,40,165.45,0.23333333333333334
MAR,M,35,165.51666666666668,0.3
AUT,M,45,165.53333333333333,0.23333333333333334
CAN,M,50,165.53333333333333,0.4166666666666667
LUX,M,50,165.61666666666667,0.15
USA,M,35,165.65,0.7833333333333333
AUT,M,45,165.68333333333334,0.43333333333333335
NED,M,30,165.68333333333334,0.15
USA,M,35,165.7,0.45
GER,M,40,165.71666666666667,0.4166666666666667
NED,M,35,165.8,0.4166666666666667
ESP,M,30,165.8,0.6
GER,M,45,165.83333333333334,0.8
USA,M,30,165.83333333333334,0.26666666666666666
GER,M,40,165.85,0.18333333333333332
SLO,M,55,165.85,0.16666666666666666
GBR,M,45,165.86666666666667,0.35
ITA,M,45,165.9,0.4166666666666667
ESP,M,30,166.08333333333334,21.1
GBR,M,30,166.1,0.25
ISR,M,40,166.1,0.35
GBR,M,40,166.18333333333334,0.3333333333333333
GER,M,35,166.25,2.283333333333333
NED,M,30,166.25,0.45
GBR,M,35,166.28333333333333,1.05
DEN,M,40,166.3,1.0333333333333334
IRL,M,30,166.36666666666667,1.2833333333333334
DEN,M,30,166.38333333333333,1.4333333333333333
AUS,M,50,166.4,0.2
NOR,M,35,166.43333333333334,1.05
POL,M,35,166.46666666666667,0.35
GER,M,40,166.46666666666667,0.6666666666666666
DEN,M,30,166.48333333333332,0.6
GER,M,40,166.51666666666668,1.0
NED,M,30,166.51666666666668,0.08333333333333333
IRL,M,45,166.51666666666668,0.26666666666666666
ECU,M,45,166.55,0.2
RUS,M,40,166.56666666666666,0.45
FRA,M,35,166.58333333333334,0.08333333333333333
FRA,M,30,166.58333333333334,0.1
DEN,M,40,166.68333333333334,0.15
SUI,M,40,166.7,0.11666666666666667
GER,M,35,166.73333333333332,0.7333333333333333
IRL,M,30,166.78333333333333,0.13333333333333333
IRL,M,40,166.8,0.48333333333333334
NOR,M,40,166.83333333333334,0.2
GBR,M,40,166.83333333333334,0.15
ESP,M,40,166.83333333333334,0.2
DEN,M,35,166.83333333333334,0.7333333333333333
GBR,M,35,166.85,0.6666666666666666
ESP,M,35,166.88333333333333,0.18333333333333332
GER,M,35,166.9,0.16666666666666666
ITA,M,45,166.95,0.43333333333333335
AUS,M,30,166.96666666666667,0.08333333333333333
GER,M,45,166.96666666666667,0.3
USA,M,35,166.96666666666667,1.3
GER,M,30,166.98333333333332,0.6666666666666666
GER,M,35,166.98333333333332,0.6666666666666666
ESP,M,35,166.98333333333332,0.21666666666666667
GER,M,35,167.0,0.16666666666666666
USA,M,35,167.01666666666668,0.6
GER,M,35,167.03333333333333,0.26666666666666666
AUT,M,30,167.06666666666666,0.26666666666666666
ITA,M,45,167.08333333333334,0.25
GER,M,30,167.13333333333333,0.65
AUT,M,50,167.15,0.6666666666666666
TUR,M,45,167.15,0.13333333333333333
ISR,M,50,167.16666666666666,0.13333333333333333
GER,M,40,167.21666666666667,0.5333333333333333
GER,M,35,167.25,1.4333333333333333
IRL,M,35,167.25,0.38333333333333336
SUI,M,35,167.25,2.0833333333333335
GER,M,35,167.33333333333334,0.26666666666666666
EST,M,45,167.33333333333334,0.5333333333333333
NOR,M,35,167.35,0.31666666666666665
GER,M,30,167.35,1.05
USA,M,35,167.36666666666667,0.3
ESP,M,35,167.36666666666667,0.35
ESP,M,30,167.38333333333333,0.18333333333333332
ESP,M,35,167.38333333333333,0.3333333333333333
IRL,M,50,167.4,0.48333333333333334
GBR,M,35,167.4,0.7666666666666667
NOR,M,40,167.41666666666666,0.31666666666666665
ITA,M,45,167.43333333333334,0.15
BRA,M,35,167.45,0.6
SWE,M,35,167.45,0.23333333333333334
DEN,M,40,167.45,0.2
CAN,M,50,167.5,0.5833333333333334
FIN,M,45,167.51666666666668,0.4666666666666667
GER,M,35,167.51666666666668,0.2
NED,M,45,167.55,0.5666666666666667
GBR,M,35,167.56666666666666,0.43333333333333335
GBR,M,50,167.61666666666667,0.5666666666666667
ESP,M,40,167.65,0.5333333333333333
ISR,M,40,167.65,0.18333333333333332
ESP,M,40,167.68333333333334,0.9
ITA,M,35,167.7,0.0
CHI,M,35,167.71666666666667,0.31666666666666665
USA,M,30,167.73333333333332,0.6833333333333333
GER,M,40,167.76666666666668,0.45
ESP,M,35,167.76666666666668,0.13333333333333333
AUS,M,35,167.76666666666668,0.36666666666666664
GBR,M,50,167.78333333333333,0.5333333333333333
RUS,M,50,167.8,0.7666666666666667
FRA,M,35,167.8,0.8
IRL,M,35,167.81666666666666,1.15
JPN,M,40,167.93333333333334,0.4666666666666667
SWE,M,35,167.95,1.05
JPN,M,45,167.96666666666667,0.48333333333333334
LTU,M,30,168.01666666666668,0.2
PUR,M,40,168.05,0.2
ITA,M,40,168.06666666666666,0.5
GBR,M,45,168.08333333333334,0.4666666666666667
GER,M,35,168.1,0.6166666666666667
ESP,M,35,168.11666666666667,0.1
AUS,M,40,168.13333333333333,0.48333333333333334
ITA,M,45,168.15,0.5833333333333334
GER,M,30,168.16666666666666,0.6333333333333333
IRL,M,50,168.18333333333334,0.55
JPN,M,30,168.18333333333334,0.55
NOR,M,35,168.2,0.7166666666666667
FRA,M,35,168.3,0.21666666666666667
SWE,M,50,168.33333333333334,0.2833333333333333
ITA,M,45,168.36666666666667,0.7333333333333333
NED,M,45,168.38333333333333,0.25
ESP,M,45,168.4,0.6833333333333333
GER,M,35,168.41666666666666,1.3833333333333333
FRA,M,35,168.41666666666666,0.2
DEN,M,30,168.43333333333334,0.5166666666666667
HUN,M,45,168.46666666666667,0.5666666666666667
GER,M,40,168.46666666666667,0.4666666666666667
FRA,M,60,168.46666666666667,20.366666666666667
GER,M,40,168.46666666666667,0.35
DEN,M,45,168.48333333333332,1.4166666666666667
FRA,M,50,168.53333333333333,0.3
